Store_Number,Store_Name,Status,WFM_Region,WFM_Region_Abbr,Op_Area,UNFI_DC,UNFI_Region,Distributor,Merch_Partner,Wire_Rack,DC_Source,Address,City,State,Zip,Latitude,Longitude
10434,Del Mar,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,2600 Via De La Valle Ste 100,Del Mar,CA,92014,32.9812012,-117.252
10739,Delray Beach,Open,Florida,FL,Southeast,"Sarasota, FL",,UNFI,Final Touch,Yes,inferred (region modal),680 Linton Blvd,Delray Beach,FL,33444,26.4392872,-80.0796
10817,Denver West - Colfax,Open,Rocky Mountain,RM,Central West,"Aurora, CO",,UNFI,Uncovered,No,inferred (region modal),14225 W Colfax Ave,Lakewood,CO,80401,39.7375221,-105.1604
10621,Destin,Open,South,SO,Southeast,"Sarasota, FL",East,UNFI,Uncovered,No,mapped,4402 Legendary Dr,Destin,FL,32541,30.3902397,-86.42
10053,Devon,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,821 Lancaster Ave,Wayne,PA,19087,40.0488777,-75.4111
10316,Domain,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,11920 Domain Dr,Austin,TX,78758,30.4063721,-97.72
10546,Downtown LA,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,788 S Grand Ave,Los Angeles,CA,90017,34.0459175,-118.2575
10809,Doylestown,Open,Mid-Atlantic,MA,Northeast,"York, PA",,UNFI,Uncovered,No,inferred (region modal),1745 S Easton Rd Suite E1,Doylestown,PA,18901,40.273201,-75.1267
10532,Draper,Closed,Rocky Mountain,RM,Central West,"Aurora, CO",,Unknown,Uncovered,No,inferred (region modal),11479 S State St Unit B,Draper,UT,84020,40.5428391,-111.89
10547,Dublin,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,5200 Dublin Blvd,Dublin,CA,94568,37.7056465,-121.8898
10215,Duluth,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,5945 State Bridge Rd,Duluth,GA,30097,34.0131416,-84.1836
10041,Durham,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,621 Broad St,Durham,NC,27705,36.0070457,-78.9206
10408,East 57th Street,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,226 E 57th St,New York,NY,10022,40.7595787,-73.9663
10721,East Austin,Open,Southwest,SW,Central West,"Lancaster, TX",,UNFI,Final Touch,No,inferred (region modal),901 E 5th St Ste 100,Austin,TX,78702,30.2642441,-97.7341
10541,East Lansing,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,2750 E Grand River Ave,East Lansing,MI,48823,42.7282066,-84.453
10555,Easton,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,4100 Easton Gateway Dr,Columbus,OH,43219,40.0568733,-82.9096
10102,Edgewater,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,905 River Rd,Edgewater,NJ,7020,40.8248367,-73.9737
10419,Edina,Open,Midwest,MW,Midwest,"Iowa City, IA",East,UNFI,Uncovered,No,mapped,7401 France Ave S,Edina,MN,55435,44.8676872,-93.328
10378,Eighty-Sixth St,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,1300 E 86th St,Indianapolis,IN,46240,39.9141808,-86.1371
10622,El Paso,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Uncovered,No,mapped,100 Pitts St,El Paso,TX,79912,31.8340626,-106.548
10569,Elmhurst,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,215 S Il Route 83,Elmhurst,IL,60126,41.8939095,-87.9605
10401,Encinitas,Closed,Southern Pacific,SP,California,"Moreno Valley, CA",,Unknown,Uncovered,No,inferred (region modal),687 S Coast Hwy Ste 101,Encinitas,CA,92024,33.0437469,-117.2932
10557,Englewood,Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,Unknown,Uncovered,No,mapped,832 W 63rd St,Chicago,IL,60621,41.7806435,-87.6464
10294,Eugene,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,353 E Broadway,Eugene,OR,97401,44.0501099,-123.0879
10076,Evanston,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,1640 Chicago Ave,Evanston,IL,60201,42.0476227,-87.6795
10720,Evergreen Park,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,Yes,mapped,9600 S Western Ave Bldg H,Evergreen Park,IL,60805,41.7177238,-87.6846
10660,Exton,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,175 N Pottstown Pike,Exton,PA,19341,40.0303001,-75.628
10425,"FTS Salt Lake City, UT TERMINATED (Fourth South)",Closed,Rocky Mountain,RM,Central West,"Aurora, CO",,Unknown,Uncovered,No,inferred (region modal),645 E. 400 South,Salt Lake City,UT,84101,40.7616768,-111.8725
10223,Fair Lakes,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,4501 Market Commons Dr,Fairfax,VA,22033,38.8577461,-77.3775
10177,Fairfax,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,6350 W 3rd St,Los Angeles,CA,90036,34.0703735,-118.3606
10317,Fairfield,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,No,mapped,350 Grasmere Ave,Fairfield,CT,6824,41.1582336,-73.2401
10358,Fairview,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,105 Stacy Rd,Fairview,TX,75069,33.1310043,-96.6566
10775,Falls Church,Open,Mid-Atlantic,MA,Northeast,"York, PA",,UNFI,Final Touch,No,inferred (region modal),103 E Broad St,Falls Church,VA,22046,38.8822174,-77.1707
10165,Farmington Hills,Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,Unknown,Uncovered,No,inferred (region modal),,Farmington Hills,MI,,42.4972687,-83.3386
10596,Fayetteville,Open,Southwest,SW,Midwest,"Lancaster, TX",West,UNFI,Uncovered,No,mapped,3425 N College Ave Ste A,Fayetteville,AR,72703,36.1136017,-94.1462
10581,Flagstaff,Open,Southern Pacific,SP,Central West,"Moreno Valley, CA",West,UNFI,Uncovered,No,mapped,320 S Cambridge Ln,Flagstaff,AZ,86001,35.1916618,-111.6412
10651,Florida Avenue,Open,Mid-Atlantic,MA,Northeast,"York, PA",,UNFI,Final Touch,Yes,inferred (region modal),967 Florida Ave NW,Washington,DC,20001,38.9196014,-77.0247
10414,Foggy Bottom,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,2201 I St NW,Washington,DC,20037,38.9008446,-77.049
10447,Folsom,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,270 Palladio Pkwy,Folsom,CA,95630,38.6486931,-121.118
10227,Forest,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,11700 Preston Rd Ste 714,Dallas,TX,75230,32.9073105,-96.8031
10174,Fort Apache,Closed,Southern Pacific,SP,Central West,"Moreno Valley, CA",West,Unknown,Uncovered,No,mapped,8855 W Charleston Blvd,Las Vegas,NV,89117,36.1577911,-115.2882
10147,Fort Collins,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,2201 S College Ave,Fort Collins,CO,80525,40.5589981,-105.0789
10709,Fort Greene,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,292 Ashland Pl,Brooklyn,NY,11217,40.6866074,-73.9784
10669,Fort Myers,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Uncovered,No,mapped,6891 Daniels Pkwy Ste 100,Fort Myers,FL,33912,26.5479527,-81.8424
10156,Framingham,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,575 Worcester Rd,Framingham,MA,1701,42.2985954,-71.4211
10044,Franklin,Open,Northern California,NC,California,"Gilroy, CA",West,UNFI,Basemakers,No,mapped,1765 California St,San Francisco,CA,94109,37.7899475,-122.4234
10375,Fremont,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,3535 NE 15th Ave,Portland,OR,97212,45.5490608,-122.6511
10467,Fremont Mowry,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,3111 Mowry Ave,Fremont,CA,94538,37.5548973,-121.9851
10026,Fresh Pond,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Uncovered,No,mapped,200 Alewife Brook Pkwy,Cambridge,MA,2138,42.3890648,-71.1417
10122,Fresno,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,650 W Shaw Ave,Fresno,CA,93704,36.8092804,-119.8053
10426,Friendly Plaza,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,3202 W Friendly Ave,Greensboro,NC,27408,36.0856247,-79.834
10211,Friendship Heights,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,Yes,mapped,4420 Willard Ave,Chevy Chase,MD,20815,38.9608955,-77.0866
10470,Frisco,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Uncovered,No,mapped,261 Lusher Ct,Frisco,CO,80443,39.5885315,-106.1004
10117,Ft Lauderdale,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Final Touch,No,mapped,2000 N Federal Hwy,Fort Lauderdale,FL,33305,26.1536713,-80.1176
10332,Ft Worth,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,Yes,mapped,3720 Vision Dr,Fort Worth,TX,76109,32.7000198,-97.413
10183,"GWI Duluth, GA (Gwinnett)",Closed,South,SO,Southeast,"Atlanta, GA",,Unknown,Uncovered,No,inferred (region modal),2025 Satellite Pointe,Duluth,GA,30096,33.9538994,-84.1519
10704,Gainesville,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Uncovered,No,mapped,3490 SW Archer Rd,Gainesville,FL,32608,29.6257076,-82.376
10166,Galleria,Open,Midwest,MW,Midwest,"Iowa City, IA",East,UNFI,Uncovered,No,mapped,1601 S Brentwood Blvd,Saint Louis,MO,63144,38.6270523,-90.3477
10036,Gateway,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,9607 Research Blvd Ste 300,Austin,TX,78759,30.3892937,-97.7415
10039,Georgetown,Closed,Mid-Atlantic,MA,Northeast,"York, PA",East,Unknown,Uncovered,No,mapped,2323 Wisconsin Ave NW,Washington,DC,20007,38.9209366,-77.0713
10562,Germantown,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,7825 Highway 72,Germantown,TN,38138,35.0890656,-89.8021
10530,Gilman,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,1025 Gilman St,Berkeley,CA,94710,37.8808746,-122.2976
10336,Glastonbury,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,55 Welles St,Glastonbury,CT,6033,41.7148438,-72.6078
10353,Glen Mills,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,475 Wilmington W Chester Pike,Glen Mills,PA,19342,39.8634987,-75.5431
10021,Glendale,Closed,Southern Pacific,SP,California,"Moreno Valley, CA",,Unknown,Uncovered,No,inferred (region modal),123 Main Street,Austin,TX,78703,34.1580086,-118.24
10179,Glendale,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,331 N Glendale Ave,Glendale,CA,91206,34.1509933,-118.2459
50091,Global Test Kitchen,Open,Southwest,SW,Central,"Lancaster, TX",,UNFI,Uncovered,No,inferred (region modal),6201 Bolm Rd Ste 101,Austin,TX,78721,30.2551147,-97.6839
10780,Glover Park,Open,Mid-Atlantic,MA,Northeast,"York, PA",,UNFI,Uncovered,No,inferred (region modal),2323 Wisconsin Ave NW,Washington,DC,20007,38.9209366,-77.0713
10107,Gold Coast,Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,Unknown,Uncovered,No,mapped,30 W Huron St,Chicago,IL,60654,41.8951988,-87.6294
10471,Governors Ranch,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Uncovered,No,mapped,5155 S Wadsworth Blvd,Littleton,CO,80123,39.6231537,-105.0922
10790,Grand Rapids,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,UNFI,Uncovered,No,inferred (region modal),2897 Radcliff Ave SE,Kentwood,MI,49512,42.911087,-85.5928
10570,Green Bay Road,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,2748 Green Bay Rd,Evanston,IL,60201,42.0679207,-87.702
10241,Green Hills,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,4021 Hillsboro Pike,Nashville,TN,37215,36.1031342,-86.8185
10537,Greenway,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,12220 SW Scholls Ferry Rd,Tigard,OR,97223,45.4424934,-122.8018
10057,Greenwich,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,No,mapped,90 E Putnam Ave,Greenwich,CT,6830,41.033123,-73.6239
10565,H Street,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,600 H St NE,Washington,DC,20002,38.9004478,-76.9981
10012,Hadley,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Uncovered,No,mapped,327 Russell St # 9,Hadley,MA,1035,42.3532639,-72.5554
10362,Haight,Open,Northern California,NC,California,"Gilroy, CA",West,UNFI,Basemakers,No,mapped,690 Stanyan St,San Francisco,CA,94117,37.7695618,-122.4528
10203,Halsted,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,3640 N Halsted St,Chicago,IL,60613,41.948349,-87.6497
10638,Harbor East,Open,Mid-Atlantic,MA,Northeast,"York, PA",,UNFI,Final Touch,No,inferred (region modal),711 S Central Ave,Baltimore,MD,21202,39.2829018,-76.5985
10114,Harbor East CLOSED,Closed,Mid-Atlantic,MA,Northeast,"York, PA",East,Unknown,Uncovered,No,mapped,1001 Fleet St,Baltimore,MD,21202,39.2840843,-76.6001
10517,Harlem,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,100 W 125th St,New York,NY,10027,40.8075981,-73.9461
10221,Harrison,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,230 Bay Pl,Oakland,CA,94612,37.8129349,-122.2605
10849,Hell's Kitchen,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",,Rainforest,Final Touch,No,inferred (region modal),301 W 50th St,New York,NY,10019,40.7626534,-73.9863
10219,Henderson,Open,Southern Pacific,SP,Central West,"Moreno Valley, CA",West,UNFI,Uncovered,No,mapped,100 S Green Valley Pkwy,Henderson,NV,89012,36.0232735,-115.0825
10345,Hennepin,Open,Midwest,MW,Midwest,"Iowa City, IA",East,UNFI,Uncovered,No,mapped,222 Hennepin Ave S,Minneapolis,MN,55401,44.9825096,-93.2691
10140,Highland Park,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,4100 Lomo Alto Dr,Dallas,TX,75219,32.8204384,-96.8147
10498,Highland Village,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,4041 Waller Crk,Highland Village,TX,75077,33.0726204,-97.0844
10142,Highlands Ranch,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,9366 S Colorado Blvd Ste B,Highlands Ranch,CO,80126,39.5450439,-104.9421
10798,Highlands Ranch Wine & Spirits,Closed,Rocky Mountain,RM,Central West,"Aurora, CO",,Unknown,Uncovered,No,inferred (region modal),9364 S Colorado Blvd C-2,Highlands Ranch,CO,80126,39.54473,-104.9424
10072,Hillcrest,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,711 University Ave,San Diego,CA,92103,32.7481918,-117.1582
10561,Hilton Head Island,Closed,South,SO,Southeast,"Atlanta, GA",East,Unknown,Uncovered,No,mapped,50 Shelter Cove Ln Ste R,Hilton Head Island,SC,29928,32.1874771,-80.7167
10159,Hingham,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,94 Derby St,Hingham,MA,2043,42.1789436,-70.9078
10364,Hinsdale,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,500 E Ogden Ave,Hinsdale,IL,60521,41.8174782,-87.9168
10869,Hoboken,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",,Rainforest,Final Touch,No,inferred (region modal),101 Washington St,Hoboken,NJ,7030,40.7375603,-74.0305
10243,Hollywood,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,4301 NE Sandy Blvd,Portland,OR,97213,45.5369606,-122.6187
10629,Hoover,Closed,South,SO,Southeast,"Lancaster, TX",West,Unknown,Uncovered,No,mapped,3780 Riverchase Vlg Ste 400,Hoover,AL,35244,33.3773117,-86.8009
10399,Huntington Beach,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,7881 Edinger Ave,Huntington Beach,CA,92647,33.7312088,-117.9905
10787,Huntington Station,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",,Rainforest,Final Touch,Yes,inferred (region modal),350 Walt Whitman Rd,Huntington Station,NY,11746,40.8166656,-73.4083
10591,Huntsville,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,2501 Memorial Pkwy SW,Huntsville,AL,35801,34.7121582,-86.5899
10512,Hyannis,Closed,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Uncovered,No,mapped,990 Iyannough Rd,Hyannis,MA,2601,41.6723938,-70.3018
10801,Hyannis Capetown Plaza,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",,Rainforest,Uncovered,No,inferred (region modal),790 Iyannough Rd Ste 12,Barnstable,MA,2601,41.6705589,-70.2964
10458,Hyde Park,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,5118 S Lake Park Ave,Chicago,IL,60615,41.8020248,-87.5882
10652,Independence Heights,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,101 North Loop,Houston,TX,77018,29.8139,-95.3981
10420,Indian School Plaza,Closed,Rocky Mountain,RM,Central West,"Aurora, CO",West,Unknown,Uncovered,No,mapped,2103 Carlisle Blvd NE,Albuquerque,NM,87110,35.1027031,-106.6051
10779,Industry City,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",,Rainforest,Final Touch,Yes,inferred (region modal),3906 2nd Ave,Brooklyn,NY,11232,40.6544456,-74.0117
10513,Ink Block,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,348 Harrison Ave,Boston,MA,2118,42.3454628,-71.063
10275,Interbay,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,2001 15TH AVE W,Seattle,WA,98119,47.6369705,-122.3768
10614,Irvine,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,8525 Irvine Center Dr,Irvine,CA,92618,33.6461639,-117.7444
10486,Jackson,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,4500 1-55N Suite 99,Jackson,MS,39211,32.3546982,-90.1498
10792,Jackson Wyoming,Open,Rocky Mountain,RM,Central West,"Aurora, CO",,UNFI,Uncovered,No,inferred (region modal),1155 S Hwy 89,Jackson,WY,83001,43.46381,-110.7945
10253,Jacksonville,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Uncovered,No,mapped,10601 San Jose Blvd,Jacksonville,FL,32257,30.1849747,-81.626
10648,Jacksonville Beach,Open,Florida,FL,Southeast,"Sarasota, FL",,UNFI,Uncovered,No,inferred (region modal),2050 3rd St S,Jacksonville Beach,FL,32250,30.2702827,-81.39
10438,Jamaica Plain,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,415 Centre St,Boston,MA,2130,42.3213882,-71.111
10231,Jamboree,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,2847 Park Ave,Tustin,CA,92782,33.6963005,-117.8256
10100,Jenkintown,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,1575 The Fairway,Rydal,PA,19046,40.107872,-75.1161
10161,Jericho,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,429 N Broadway,Jericho,NY,11753,40.7889442,-73.5347
10772,Jersey City,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",,Rainforest,Final Touch,No,inferred (region modal),135 Greene St,Jersey City,NJ,7311,40.7179031,-74.0367
41103,KCT1 Wallingford CT,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",,Rainforest,Uncovered,No,inferred (region modal),1107 Northrop Rd Unit 2,Wallingford,CT,6492,,
40016,KMD-1  Upper Marlboro MD,Open,Mid-Atlantic,MA,Northeast,"York, PA",,UNFI,Uncovered,No,inferred (region modal),16103 Queens Ct,Upper Marlboro,MD,20774,,
40017,KNY-1 New York MicroKitchen (Long Island City NY),Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",,Rainforest,Uncovered,No,inferred (region modal),43-46 10th St,Long Island City,NY,11101,,
10363,Kahala Mall Oahu,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Uncovered,No,mapped,4211 Waialae Ave Ste 2000,Honolulu,HI,96816,21.2775288,-157.7867
10368,Kailua,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Uncovered,No,mapped,629 Kailua Rd,Kailua,HI,96734,21.3936539,-157.743
10457,Kansas City,Open,Rocky Mountain,RM,Midwest,"Aurora, CO",West,UNFI,Uncovered,No,mapped,301 E 51st St,Kansas City,MO,64112,39.0342751,-94.5834
10474,Katy,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,6601 S Fry Rd,Katy,TX,77494,29.7121944,-95.7713
10520,Kenilworth,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,4 S Tunnel Rd Ste 100,Asheville,NC,28805,35.582386,-82.5231
10590,Kennesaw,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,1300 Ernest Barrett Parkway,Kennesaw,GA,30144,33.9975281,-84.5896
10180,Kentlands,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,316 Kentlands Blvd,Gaithersburg,MD,20878,39.1226425,-77.2377
10666,Kenwood,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,UNFI,Uncovered,No,inferred (region modal),5901 E Galbraith Rd Ste 105,Cincinnati,OH,45236,39.2052879,-84.3739
10292,Kildeer,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,20281 N Rand Rd,Kildeer,IL,60074,42.1593513,-88.0441
10115,Kirby,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,2955 Kirby Dr,Houston,TX,77098,29.739315,-95.4181
10655,Kirkland,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,12501 120th Ave NE,Kirkland,WA,98034,47.7115211,-122.1797
10461,Knoxville,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,6730 Papermill Dr,Knoxville,TN,37919,35.9331436,-84.0155
10066,La Jolla,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,8825 Villa La Jolla Dr,La Jolla,CA,92037,32.868763,-117.2306
10361,Ladue (WO)-CLOSED (inactive),Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,Unknown,Uncovered,No,inferred (region modal),123 Main Street,Austin,TX,78703,38.6539192,-90.3499
10349,Lafayette,Open,Northern California,NC,California,"Rocklin, CA",West,UNFI,Uncovered,No,mapped,3502 Mt Diablo Blvd,Lafayette,CA,94549,37.8932686,-122.1171
10406,Laguna Beach,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,283 Broadway St,Laguna Beach,CA,92651,33.5438576,-117.7838
10437,Laguna Niguel,Open,Southern Pacific,SP,California,"Moreno Valley, CA",West,UNFI,Basemakers,No,mapped,23932 Aliso Creek Rd,Laguna Niguel,CA,92677,33.5544586,-117.7126
10119,Lake Calhoun,Open,Midwest,MW,Midwest,"Iowa City, IA",East,UNFI,Uncovered,No,mapped,3060 Excelsior Blvd,Minneapolis,MN,55416,44.9475632,-93.3224
10240,Lake Grove,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,No,mapped,120 New Moriches Rd,Lake Grove,NY,11755,40.8697052,-73.1258
10543,Lake Norman,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,9129 Sam Furr Rd,Huntersville,NC,28078,35.4441032,-80.8717
10654,Lake Oswego,Open,Pacific Northwest,PN,Central West,"Ridgefield, WA",West,UNFI,Basemakers,No,mapped,11 S State St,Lake Oswego,OR,97034,45.4157753,-122.6622
10643,Lakeview,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,3201 N Ashland Ave,Chicago,IL,60657,41.9398994,-87.6684
10040,Lakeview Old,Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",,Unknown,Uncovered,No,inferred (region modal),3300 N Ashland Ave,Chicago,IL,60657,41.9418831,-87.6691
10283,Lakewood,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,2118 Abrams Rd,Dallas,TX,75214,32.81567,-96.7523
10145,Lamar,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,525 N Lamar Blvd,Austin,TX,78703,30.2705975,-97.7534
50094,Lamar Retail Test Site,Open,Southwest,SW,Central,"Lancaster, TX",,UNFI,Uncovered,No,inferred (region modal),705 N Lamar Blvd Ste 101,Austin,TX,78703,30.2723787,-97.7534
10624,Lancaster,Open,Mid-Atlantic,MA,Northeast,"York, PA",East,UNFI,Final Touch,No,mapped,1563 Fruitville Pike,Lancaster,PA,17601,40.0653496,-76.3132
10502,Las Cimas,Closed,Southwest,SW,Central West,"Lancaster, TX",,Unknown,Uncovered,No,inferred (region modal),807 Las Cimas Pkwy Ste 145,Austin,TX,78746,30.2906529,-97.8288
10627,Las Colinas,Open,Southwest,SW,Central West,"Lancaster, TX",West,UNFI,Final Touch,No,mapped,6741 N MacArthur Blvd,Irving,TX,75039,32.9012794,-96.9604
